Jira issue key,WBS ID,Issue summary,Field to be changed,Current Jira value,Proposed working value,Rationale,Affected research file,Evidence status,Research status,Jira-sync status,Date last reviewed
SS-335,RES-ML,Machine-Learning Methodology,Scope and purpose,Previous broad ML/geometry direction,Event-conditioned supervised response and reinforcement-screening methodology,Align ML workstream with validated existing-defence scope,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/res-ml.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-399,RES-ML-ROL,Machine-Learning Role and Reinforcement-Assessment Use Cases,Scope and exclusions,Generated geometry/inverse-design emphasis,Retain response surrogate classifier screening active learning and reduced-order roles; defer generative geometry inverse design RL and cross-event transfer,Prevent over-claiming ML role before validation,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-ROL - Machine-Learning Role and Use-Case Definition/res-ml-rol.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-400,RES-ML-DAT,Historical and Simulation-Derived Learning Dataset Requirements,Dataset definition,Potential broad multi-event dataset,Complete simulation case with defence geometry version event condition reinforcement numerical configuration and response labels,Make simulation provenance and grouped validation explicit,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-DAT - Learning Dataset and Simulation-Data Requirements/res-ml-dat.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-401,RES-ML-REP,Defence Event Intervention and Response Representation,Representation scope,Potential high-dimensional geometry learning,Controlled tabular or low-dimensional defence event intervention and response descriptors,Match small-data event-conditioned workflow,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-REP - Input, Output and Geometry Representation/res-ml-rep.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-402,RES-ML-ALG,Surrogate and Classification Algorithm Assessment,Algorithm hierarchy,Unspecified or neural-network-forward approach,Baseline-first hierarchy from linear models through kernels ensembles Gaussian processes and neural networks only if data volume supports them,Avoid selecting final algorithm without evidence,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-ALG - Learning Algorithm and Architecture Assessment/res-ml-alg.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-403,RES-ML-OBJ,Prediction Losses Damage Labels and Engineering Constraints,Losses and rewards,Includes reinforcement-learning rewards in active scope,Remove RL rewards; use regression classification constraints and asymmetric safety errors,Align objective definitions with supervised assessment,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-OBJ - Loss Functions, Rewards and Physical Constraints/res-ml-obj.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-404,RES-ML-SUR,Event-Conditioned Response Surrogate and Active-Sampling Strategy,Central deliverable scope,General surrogate/multifidelity scope,Central event-conditioned response surrogate with uncertainty active sampling and FSI fallback,Make surrogate role explicit and bounded,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-SUR - Surrogate, Multifidelity and Active-Learning Strategy/res-ml-sur.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-405,RES-ML-TRN,Training Grouped Validation and Model-Selection Methodology,Validation method,Secondary-event holdout requirement,Grouped splits by complete simulation held-out reinforcement held-out condition ranges structure holdout where possible and independent final tests,Prevent leakage and remove unsupported cross-event requirement,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-TRN - Training, Validation and Experiment Methodology/res-ml-trn.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-406,RES-ML-GEN,Within-Domain Generalisation Uncertainty and Interpretability,Generalisation claim,Cross-event performance as initial acceptance concern,Restrict claims to validated event-conditioned domain with uncertainty calibration and out-of-domain rejection,Avoid unsupported cross-event claims,"docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-GEN - Generalisation, Uncertainty and Interpretability/res-ml-gen.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-407,RES-ML-INT,Integration with Validated Simulation and Reinforcement Screening,Integration sequence,Unspecified simulation/optimisation integration,Select defence specify event and option verify domain predict response screen options require FSI fallback add verified simulations,Govern surrogate use and confirmation,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-INT - Integration with Simulation and Optimisation/res-ml-int.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-408,RES-ML-SPEC,Integrated Event-Conditioned Defence-Assessment ML Specification,Integrated specification,Generic integrated ML specification,Consolidate selected roles evidence simulation data representation algorithm losses grouped validation uncertainty fallback workflow and limits,Preserve WBS while recording revised scope,docs/workstream/RES - Research/RES-ML - Machine-Learning Methodology/RES-ML-SPEC - Integrated Machine-Learning Specification/res-ml-spec.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-346,RES-DAT-OBS,Observational and Validation Data,Observation catalogue scope,Event observations only or incomplete defence evidence,Add documented defence damage survival failure geometry condition drawings photos reconstruction records and local exposure evidence,Support G1 defence feasibility and validation,docs/workstream/RES - Research/RES-DAT - Environmental Data and Case-Study Definition/RES-DAT-OBS - Observational and Validation Data/res-dat-obs.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-347,RES-DAT-SCN,Scenario and Severity Definition,Scenario scope,Potential multiple unrelated events,One primary historical event plus controlled physical variations around that event,Bound the initial event-conditioned domain,docs/workstream/RES - Research/RES-DAT - Environmental Data and Case-Study Definition/RES-DAT-SCN - Scenario and Severity Definition/res-dat-scn.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-349,RES-DAT-CAS,Integrated Tsunami Case-Study Specifications,Case-study specification,Primary-plus-secondary-event specification,One authoritative reconstruction case validated baseline bounded variants and defence-specific local cases,Remove mandatory secondary event for initial project,docs/workstream/RES - Research/RES-DAT - Environmental Data and Case-Study Definition/RES-DAT-CAS - Integrated Tsunami Case-Study Specifications/res-dat-cas.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-368,RES-GEO-TAX,Barrier Geometry Taxonomy and Candidate Families,Geometry taxonomy scope,Unrestricted candidate geometry families,Existing documented defence types exposed structures recoverable geometry and reconstruction actions,Shift geometry work to evidence-backed existing defences,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-TAX - Barrier Geometry Taxonomy and Candidate Families/res-geo-tax.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-369,RES-GEO-PAR,Parametric Geometry and Design-Variable Definition,Parameter scope,Generic design-variable definition,Parameters for original present/reconstructed defence and controlled reinforcement interventions,Support bounded intervention space,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-PAR - Parametric Geometry and Design-Variable Definition/res-geo-par.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-370,RES-GEO-MET,Geometric and Hydraulic Descriptor Framework,Descriptor scope,Generic geometric/hydraulic descriptors,Descriptors for baseline geometry exposure damage reinforcement structural capacity and hydraulic interaction,Support ML features and validation,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-MET - Geometric and Hydraulic Descriptor Framework/res-geo-met.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-372,RES-GEO-REP,Two- and Three-Dimensional Model Representation,Representation scope,Generic geometry representation,Represent the same defence for regional local fluid structural and ML feature generation,Ensure cross-model consistency,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-REP - Two- and Three-Dimensional Model Representation/res-geo-rep.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-373,RES-GEO-CST,Geometric Feasibility and Design Constraints,Admissible design space,Unbounded or broad geometry constraints,Realistic reinforcement interventions with validity constructability material foundation meshability and numerical feasibility constraints,Prevent unsupported geometry generation,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-CST - Geometric Feasibility and Design Constraints/res-geo-cst.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-374,RES-GEO-SPEC,Integrated Geometry-Generation Specification,Final output,Unrestricted geometry-generation specification,Existing-defence and reinforcement-intervention representation specification,Preserve WBS while reframing active output,docs/workstream/RES - Research/RES-GEO - Barrier Geometry and Spatial Representation/RES-GEO-SPEC - Integrated Geometry-Generation Specification/res-geo-spec.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-334,RES-OPT,Design Optimisation,Active project role,Unrestricted barrier optimisation,Controlled reinforcement-option screening and selection in a bounded intervention space,Align optimisation with revised scope,docs/workstream/RES - Research/RES-OPT - Design Optimisation/res-opt.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-390,RES-OPT-PRB,Optimisation Problem and Design-Space Definition,Problem definition,Unrestricted design-space optimisation,Bounded reinforcement screening for documented existing defence,Constrain optimisation problem,docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-PRB - Optimisation Problem and Design-Space Definition/res-opt-prb.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-391,RES-OPT-OBJ,Objective Functions and Performance Measures,Objective scope,Generic performance objectives,Hydraulic response structural response adequacy uncertainty constructability and intervention burden,Use event-conditioned screening objectives,docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-OBJ - Objective Functions and Performance Measures/res-opt-obj.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-392,RES-OPT-CST,Constraints Feasibility and Design Admissibility,Constraint scope,Broad optimisation constraints,Realistic reinforcement constraints plus validated-domain and FSI confirmation limits,Prevent invalid screening results,"docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-CST - Constraints, Feasibility and Design Admissibility/res-opt-cst.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-393,RES-OPT-DOE,Design of Experiments and Simulation-Sampling Strategy,DOE scope,Unrestricted optimisation sampling,Validated baseline reinforcement bounded event-variation active-learning and final-test simulations,Tie sampling to G4 simulation campaign,docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-DOE - Design of Experiments and Simulation-Sampling Strategy/res-opt-doe.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-397,RES-OPT-BUD,Computational Budget Convergence and Termination Strategy,Budget scope,Generic optimisation budget,Budget baseline validation reinforcement active-learning and direct FSI confirmation simulations,Keep ML training blocked until simulation campaign exists,"docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-BUD - Computational Budget, Convergence and Termination Strategy/res-opt-bud.tex",Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-398,RES-OPT-SPEC,Integrated Optimisation Specification,Integrated specification,Unrestricted optimisation specification,Bounded reinforcement-screening specification; no final algorithm selected,Preserve WBS and defer algorithm selection,docs/workstream/RES - Research/RES-OPT - Design Optimisation/RES-OPT-SPEC - Integrated Optimisation Specification/res-opt-spec.tex,Evidence gaps recorded,Research in progress,RESEARCH IN PROGRESS,2026-06-30
SS-337,RES-PHY-SRC,Tsunami Generation and Source Physics,Research status,In Progress,Research specification complete; implementation/validation pending,Dynamic moving-bed regional source representation established while final source dataset remains open,"docs/workstream/RES - Research/RES-PHY - Tsunami and Coastal Fluid Dynamics/RES-PHY-SRC - Tsunami Generation and Source Physics/res-phy-src.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-338,RES-PHY-PRO,Offshore Propagation and Wave Transformation,Research status,In Progress,Research specification complete; implementation/validation pending,Regional NLSWE propagation role established while validation remains separate,"docs/workstream/RES - Research/RES-PHY - Tsunami and Coastal Fluid Dynamics/RES-PHY-PRO - Offshore Propagation and Wave Transformation/res-phy-pro.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-339,RES-PHY-NRS,Nearshore Transformation Run-Up and Inundation,Research status,In Progress,Research specification complete; implementation/validation pending,Regional wetting-drying and inundation role established while site validation remains open,"docs/workstream/RES - Research/RES-PHY - Tsunami and Coastal Fluid Dynamics/RES-PHY-NRS - Nearshore Transformation, Run-Up and Inundation/res-phy-nrs.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-343,RES-PHY-SYN,Integrated Physical-Phenomena Model,Research status,In Progress,Research specification complete; implementation/validation pending,Regional physical assumptions established and local 3D/FSI scope separated,"docs/workstream/RES - Research/RES-PHY - Tsunami and Coastal Fluid Dynamics/RES-PHY-SYN - Integrated Physical-Phenomena Model/res-phy-syn.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-344,RES-DAT-GEO,Bathymetry Topography and Coastal Geometry,Research status,To Do,Research specification complete; implementation/validation pending,Regional data requirements established while QGIS/domain and dataset selection remain open,"docs/workstream/RES - Research/RES-DAT - Environmental Data and Case-Study Definition/RES-DAT-GEO - Bathymetry, Topography and Coastal Geometry/res-dat-geo.tex",Requirements integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-345,RES-DAT-SRC,Earthquake and Tsunami Source Data,Research status,To Do,Research specification complete; implementation/validation pending,Regional source-data variables established while final fault-source dataset remains open,"docs/workstream/RES - Research/RES-DAT - Environmental Data and Case-Study Definition/RES-DAT-SRC - Earthquake and Tsunami Source Data/res-dat-src.tex",Requirements integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-350,RES-MOD-SYS,System Boundary and Mathematical Model Architecture,Research status,To Do,Research specification complete; implementation/validation pending,Regional 2D/local 3D model boundary established,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-SYS - System Boundary and Mathematical Model Architecture/res-mod-sys.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-351,RES-MOD-EQS,Governing Equations and State Variables,Research status,To Do,Research specification complete; implementation/validation pending,Regional NLSWE state variables equations bed convention and dynamic bathymetry integrated,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-EQS - Governing Equations and State Variables/res-mod-eqs.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-352,RES-MOD-SRC,Physical Source Terms and Constitutive Closures,Research status,To Do,Research specification complete; implementation/validation pending,Regional bed friction sponge and moving-bed source decisions integrated,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-SRC - Physical Source Terms and Constitutive Closures/res-mod-src.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-353,RES-MOD-IBC,Initial Boundary and Interface Condition Models,Research status,To Do,Research specification complete; implementation/validation pending,Regional open/radiation coastline wall and interface condition roles integrated,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-IBC - Initial, Boundary and Interface Condition Models/res-mod-ibc.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-354,RES-MOD-LRG,Large-Domain Representation and Model Reduction,Research status,To Do,Research specification complete; implementation/validation pending,Regional 2D NLSWE selected as large-domain model while domain lock remains open,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-LRG - Large-Domain Representation and Model Reduction/res-mod-lrg.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-357,RES-MOD-SPEC,Integrated Mathematical Model Specification,Research status,To Do,Research specification complete; implementation/validation pending,Integrated regional mathematical model lock and deferred-scope record added,"docs/workstream/RES - Research/RES-MOD - Mathematical Model and Coupling/RES-MOD-SPEC - Integrated Mathematical Model Specification/res-mod-spec.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-358,RES-NUM-FRM,Numerical Formulation and Discrete Conservation Framework,Research status,To Do,Research specification complete; implementation/validation pending,Regional finite-volume framework updated from family selection to research specification,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-FRM - Numerical Formulation and Discrete Conservation Framework/res-num-frm.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-359,RES-NUM-MSH,Mesh Topology Resolution and Geometric Discretisation,Research status,To Do,Research specification complete; implementation/validation pending,Regional polygon triangle quadrilateral geometry and refinement principles integrated,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-MSH - Mesh Topology, Resolution and Geometric Discretisation/res-num-msh.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-360,RES-NUM-FLX,Spatial Reconstruction and Numerical Flux Selection,Research status,To Do,Research specification complete; implementation/validation pending,Regional MUSCL least-squares Barth-Jespersen and HLLC/HLL flux strategy integrated,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-FLX - Spatial Reconstruction and Numerical Flux Selection/res-num-flx.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-361,RES-NUM-SRC,Numerical Treatment of Source Terms and Well-Balancing,Research status,To Do,Research specification complete; implementation/validation pending,Regional hydrostatic reconstruction bed source Manning moving-bed and sponge treatment integrated,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-SRC - Numerical Treatment of Source Terms and Well-Balancing/res-num-src.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-362,RES-NUM-TIM,"Time Integration CFL Control and Stiffness Treatment",Research status,To Do,Research specification complete; implementation/validation pending,"Regional SSPRK(3,3) Strang-split Manning and CFL timestep integrated","docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-TIM - Time Integration, CFL Control and Stiffness Treatment/res-num-tim.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-363,RES-NUM-WET,Wetting-Drying Positivity and Discontinuity Treatment,Research status,To Do,Research specification complete; implementation/validation pending,Regional positivity wet/dry reset and draining limiter strategy integrated,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-WET - Wetting–Drying, Positivity and Discontinuity Treatment/res-num-wet.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-364,RES-NUM-IBC,Discrete Initial Boundary and Interface Treatments,Research status,To Do,Research specification complete; implementation/validation pending,Regional boundary-state treatment integrated while 2D/3D coupling operators remain open,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-IBC - Discrete Initial, Boundary and Interface Treatments/res-num-ibc.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-367,RES-NUM-SPEC,Integrated Numerical-Method Specification,Research status,To Do,Research specification complete; implementation/validation pending,Integrated regional numerical model lock and deferred-scope record added,"docs/workstream/RES - Research/RES-NUM - Numerical Methods, Accuracy and Stability/RES-NUM-SPEC - Integrated Numerical-Method Specification/res-num-spec.tex",Specification integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
SS-389,RES-VER-SPEC,Integrated Simulation Test Specification,Research status,To Do,Research specification complete; implementation/validation pending,Regional verification and validation test requirements integrated while execution remains open,"docs/workstream/RES - Research/RES-VER - Verification, Testing and Uncertainty Methodology/RES-VER-SPEC - Integrated Simulation Test Specification/res-ver-spec.tex",Requirements integrated,Research specification complete,MANUAL UPDATE REQUIRED,2026-07-07
